text,label
@snapchatsupport can u guys u lock my account please ??,none
I have a concern can you please address it ?,none
my account is locked help me ,none
ya new shit sucks ,"frustrated,unsatisfied"
your update sucks ,"frustrated,unsatisfied"
why did u cover the mens games and not the women n ? #marchmadness ,none
Why is the latest update so trashy and why is the crashing yet to be resolved ? This is ridiculous ,"frustrated,unsatisfied,bug"
youre making it really hard for me to boycott peoples stories now ,unsatisfied
WHY ARE YOU ACTING UP ,"frustrated,bug"
WHY DID I JUST LOSE A SOMETHING DAY STREAK THIS IS NOT OKAY ,"frustrated,bug"
stop making my phone die ,"frustrated,bug"
my question for you today is why would you remove the dog filter ? I ll wait ,unsatisfied
please ban people like this ,frustrated
where tf did all my filters go not amused ,"frustrated,unsatisfied"
get yo shit together ,frustrated
yall doing the most with your filters Chill goddamn it !,"frustrated,unsatisfied"
BRING BACK THE FILTERS !!,"frustrated,unsatisfied"
bring back the other filters pls ,"frustrated,unsatisfied"
is there snapchat for @PitchPerfect i can not find it ,none
PLEASE NEVER TAKE AWAY THE XMEN FILTERS ,frustrated
in TFS we need to have Tested In Build on a per user basis not on a Test Plan basis Is this possible ?,none
I cant create a C App in Community Update any fix ?,bug
shouldnt time out amp prevent use w o updated license key If ive HAD a working license and it expires it should still work ,bug
IDE creates this components _N_ new System ComponentModem Containem line __twice__ C # WinForms any ideas ,bug
why does just ramp up CPU when there are or XML or transform files open ? Barely usable Is that sorted in ,bug
Another search another crash Find in Files needs some way to exclude min files ,bug
so installing Update and wondering why were still installing Windows Phone SDK ?,unsatisfied
I recently installed VS Update Splash screen now flickers and VS process exits Any way I can debug fix this ?,"unsatisfied,bug"
Same problem more or less here Community version gets msg that i am now a MSN subscriber and I can download VS enterprise ,bug
tried VS Code today on my mac Looked clean but didnt find any option to run my angular app Switched back to @WebStormIDE ,unsatisfied
If I got JDK installed is there anyway I can install Android VS Tools without installing JDK VS installer doesntallow ,none
Far too many tweets in the last few hours A stupid number youre being unfollowed ,frustrated
VS Update broke the nuget package manager its no longer possible to search for packages ,bug
ive never uninstalled a piece of software faster ,frustrated
Idea why many instances of Visual Studio open e e slows machine to a crawl ? Task man shows CPU all in kerel time ,bug
how many weeks does VS Community take to get installed ? been days still so called applying on ,bug
just installed visual studio preview with new installer and got a license expired message on my first run suggestions ?,"unsatisfied,bug"
help save fair use #WTFU Where W The Fair Use ? Nostalgia Critic on YouTube ,none
team replace Interactive Window in #VisualStudio with something like #LINQPad ,none
Online seems to be running slow right now Is it just me ?,none
how do I reset or repair my default profile ? Any way to achieve that ? or to use another rootSuffix by default ?,bug
Bug spotted on signin window of Where to put email address to verify the same ? ,bug
I m trying to figure out how to enable this from Update In fact my Status Bar is completely empty ,"unsatisfied,bug"
Enable Edit and Continue missing after vs update !,unsatisfied
its doing the same for Xamarin Update What Can I do now ? Is there any solution ? ,unsatisfied
online down ?,bug
@Microsoft I cant login to the account tried through and different browsers on PCs ,bug
has crashed so much tonight mainly when doing R # code cleanup that I now cannot load my website project ,bug
@windowsdev @Azure The is this page useful popup on the documentations pages is getting QUITE annoying it pops up too soon ,frustrated
hi there where did this page go ?? ,none
just BSOD from Windows build while re installing ,bug
Please put priority on this ,none
Guess I need to wait for an update ,bug
Just tried to ask some questions via vsmarketplace @microsofe @com but the email didnt get through Sender not allowed help ?,bug
#include lt ltdit l lt int main for printf Fuck you u return ,frustrated
holy crap take a breath between tweets ,frustrated
@twitter @msdev we will fix this ,bug
Got an error ,bug
is getting massive gb for an install that supports C # and C Dev ,none
my xaml intellisense has stopped working Need a quick fix Unable to find relevant help on the Internet ,bug
I didnt change the system but updating to and no the attached message in ,unsatisfied
windows update has broken same issues as previously reported ,unsatisfied
Is it just me or is VSTS going SUPER slow ?,frustrated
FYI IpOverUsbSvc which is installed by VS prevents the safe removal of Windows Mobile device ,bug
Update community edition setup fails for me on Tried repair but that fails also ,bug
Application Insights and its analytics addon was kind of awesome Navigating the AI data in the azure portal was not so awesum,none
have you seen this before ? Closing vs and re opening solved the issue Running Community Update ,none
its been days and its still installing This better be worth the wait ,frustrated
seprate IDE for each lang and it worked then i installed code it was awesome but each time i use studio it returns error somew,bug
made illegal in India #innovation check it out ,none
bloody hell ,frustrated
please help me my account has blocked since open my account  is a lot of important data ,none
after ios update to app is not launching Suggestions ?,"unsatisfied,bug"
Why its always sync ? We need it directly for our desktops So we can use whatsapp even there is no internet on our mobile ,none
Is WhatsApp Web also end td tnd encrypted or does that work differently ? I m concerned about that being a weak link in the chain ,none
Hi why is BT charging me for my WhatsApp text messages I am well in my Data usage limit They say its for the number used ,bug
Hi Spammers are inviting anyone to groups now !! Why not to allow us to agree disagree invitations ? ,frustrated
Why do I suddenly have random contacts in my Whatsapp ? People that are not even in my address book with a at the end ??,bug
We need Desktop app but why again phone needs to be wifi connected ? #disappointed ,unsatisfied
I just need you to develop an add or block option for groups Getting added randomly to a groupchat by folks idk aint pleasant ,none
@OnePlus_IN whats There with encryption in whatsapp ? Where I see convo is not encrypted other people see its encrypted ,bug
#whatsapp getting down cant use it only white screen FIX IT !!,"frustrated,bug"
XSS vulnerability on #websec ,bug
How come you dont have a croissant emoji ? Any plans ? #croissantemoji @Jade_Burtonx ,none
After charging my iPhone with gb of free space its down to A solution is appreciated @AppleSupport ,bug
why doesntmy whatsapp give me notifications anymore ? Settings are correct ! Have to open the app before they show ! So annoying !,"frustrated,unsatisfied,bug"
my whatsapp is not opening and crashing like hell on launching Whats happening Any help ?? #whatsappdown ,"frustrated,bug"
is it any problem with all whatsapp in iphone ? Because i try to open whatsapp in all iphone its always white screen ,bug
why is my whatsapp not working !!,"frustrated,bug"
AsyncSocketException SSL connect timed out type _N_ Timed out on ,bug
how do I stop this bolding of words once surrounded by asterisks is there a way to turn off the setting ? waits patiently ,bug
Guys the new Mac app is great with just one small problem It shouldnt quit outright when hitting the close window button ,bug
Snubs Kannada including all other Indian languages without Kannada @KannadaGrahaka ,none
let me know when the constant notification screen goes away so I can start using the service again #usability ,unsatisfied
Hi WhatsApp on iPhone how can I solve the problem that no names are showing in chats only phone numbers ??,bug
update isnt cool shows the number of messages on the app icon even after the messages have been read needs exiting twice ,unsatisfied
Hi I m trying to back up my messages from my HTC One to my Galaxy Edge but there doesntseem to be a restore file Help !,frustrated
has no support system in place ,none
my #WhatsApp crashing since last updates Please help ,bug
Windows app is not installing !!,"frustrated,bug"
When I am trying to use whatsapp is gives me a message that whatsapp is currently offline ? also I am not able to take a backup ,bug
please let us customize notification sounds with our own custom ones or please add more Alot more ,none
when its one persons birthday in a group why must the others suffer birthday wishes on the group too ?,frustrated
@whatsapp_down enough is enough If u cant bring back whatsapp for ios just retrieve app from #whatsappdown ,"frustrated,bug"
I m trying to back up chats but its been at for minutes now Connected to wifi and it works perfect Help ?,bug
sort your notifications on Android out The pop pp when screen is off one is abysmal !,"frustrated,bug"
conversation specific keyboard settings would be nice Its tiring to switch between different keyboards,frustrated
Hi eventually I have to use an Iphone for some weeks and when install whatsapp warns time is not correct but it is ,bug
is still not possible to be installed on @Windows Pro with #Error ,bug
After latest update version whatsapp stopped working on iOS on iPhone ,bug
Fix needed I cant send a properly aligned message LOL ,bug
Biggest drawback of Whatsapp call is Though otherside person isnt reachable We hear a dial tone Will there be update to this ?,bug
